,0
41,0.3470137408180071
42,0.25622400248411215
45,0.29193530267682766
46,0.3209837865952417
47,0.3057949188684115
48,0.451814306003911
49,0.21950571155274878
50,0.18039916229090341
51,0.2993773674313766
39,0.19688644654981402
54,0.2658305389776656
55,0.17735023679982526
56,0.21335980075587002
57,0.2335714386419762
58,0.3056120151493528
59,0.28777426845595433
60,0.16120046669569352
61,0.1844654818342813
62,0.20265010014277154
63,0.2702714216451721
64,0.22823801710969518
65,0.21081569772911585
66,0.25218283077731546
67,0.2019611201108176
68,0.3055328030167407
69,0.21394308563092457
70,0.20129442580685336
71,0.28661151104384197
72,0.2682535224306933
73,0.30692833203668973
74,0.18950162076212734
75,0.25994918704597203
76,0.19559441875987083
77,0.1904883872073187
