,0
41,0.3472329862219929
42,0.26215594968322
45,0.31972873197555857
46,0.27833431503785494
47,0.3156882716273802
48,0.4115881810370931
49,0.2760667746614701
50,0.1849410083458944
51,0.3386156858659032
39,0.17998835713509698
54,0.3285321393872917
55,0.19902006366930716
56,0.28198562659222604
57,0.22605864110627477
58,0.41204694509146805
59,0.3404505262403189
60,0.19614061554075451
61,0.19229211298749785
62,0.3057362486706211
63,0.30034690632236327
64,0.26312864396124963
65,0.18985215193124766
66,0.2685866689792378
67,0.218196181377751
68,0.2850635068913653
69,0.20637134486608752
70,0.16263322937988692
71,0.3494096973269671
72,0.2696100071491199
73,0.44973179640016314
74,0.19585317922608755
75,0.2829173213238128
76,0.20147229388013047
77,0.19018243734123821
