weekday,month,year,business_day,wind_dir_degrees,precipitation_inches
0,3,2014,1,135.0,0.1
1,3,2014,1,16.0,0.0
2,3,2014,1,211.0,0.26
3,3,2014,1,258.0,0.01
4,3,2014,1,296.0,0.0
5,3,2014,0,285.0,0.0
6,3,2014,0,291.0,0.0
0,3,2014,1,307.0,0.0
1,3,2014,1,6.0,0.0
2,3,2014,1,28.0,0.0
3,3,2014,1,270.0,0.0
4,3,2014,1,248.0,0.0
5,3,2014,0,293.0,0.0
6,3,2014,0,292.0,0.0
0,3,2014,1,291.0,0.0
1,3,2014,1,290.0,0.0
2,3,2014,1,316.0,0.0
3,3,2014,1,292.0,0.0
4,3,2014,1,263.0,0.0
5,3,2014,0,246.0,0.0
6,3,2014,0,280.0,0.0
0,3,2014,1,328.0,0.0
1,3,2014,1,253.0,0.15
2,3,2014,1,235.0,0.63
3,3,2014,1,244.0,0.0
4,3,2014,1,191.0,0.01
5,3,2014,0,200.0,0.87
6,3,2014,0,277.0,0.0
0,3,2014,1,169.0,0.57
1,4,2014,1,158.0,0.69
2,4,2014,1,357.0,0.0
3,4,2014,1,211.0,0.0
4,4,2014,1,292.0,0.32
5,4,2014,0,292.0,0.0
6,4,2014,0,275.0,0.0
0,4,2014,1,291.0,0.0
1,4,2014,1,299.0,0.0
2,4,2014,1,295.0,0.0
3,4,2014,1,302.0,0.0
4,4,2014,1,298.0,0.0
5,4,2014,0,262.0,0.0
6,4,2014,0,262.0,0.0
0,4,2014,1,283.0,0.0
1,4,2014,1,275.0,0.0
2,4,2014,1,257.0,0.0
3,4,2014,1,262.0,0.0
4,4,2014,1,263.0,0.0
5,4,2014,0,262.0,0.0
6,4,2014,0,269.0,0.0
0,4,2014,1,275.0,0.0
1,4,2014,1,287.0,0.0
2,4,2014,1,299.0,0.0
3,4,2014,1,268.0,0.02
4,4,2014,1,253.0,0.57
5,4,2014,0,280.0,0.0
6,4,2014,0,234.0,0.0
0,4,2014,1,287.0,0.0
1,4,2014,1,254.0,0.0
2,4,2014,1,280.0,0.0
3,5,2014,1,290.0,0.0
4,5,2014,1,282.0,0.0
5,5,2014,0,262.0,0.0
6,5,2014,0,270.0,0.0
0,5,2014,1,276.0,0.0
1,5,2014,1,275.0,0.0
2,5,2014,1,218.0,0.0
3,5,2014,1,246.0,0.0
4,5,2014,1,272.0,0.0
5,5,2014,0,289.0,0.0
6,5,2014,0,303.0,0.0
0,5,2014,1,299.0,0.0
1,5,2014,1,283.0,0.0
2,5,2014,1,291.0,0.0
3,5,2014,1,280.0,0.0
4,5,2014,1,266.0,0.0
5,5,2014,0,261.0,0.0
6,5,2014,0,276.0,0.0
0,5,2014,1,273.0,0.0
1,5,2014,1,262.0,0.0
2,5,2014,1,247.0,0.0
3,5,2014,1,275.0,0.0
4,5,2014,1,272.0,0.0
5,5,2014,0,265.0,0.0
6,5,2014,0,242.0,0.0
0,5,2014,0,258.0,0.0
1,5,2014,1,264.0,0.0
2,5,2014,1,287.0,0.0
3,5,2014,1,267.0,0.0
4,5,2014,1,262.0,0.0
5,5,2014,0,256.0,0.0
6,6,2014,0,305.0,0.0
0,6,2014,1,259.0,0.0
1,6,2014,1,278.0,0.0
2,6,2014,1,288.0,0.0
3,6,2014,1,314.0,0.0
4,6,2014,1,320.0,0.0
5,6,2014,0,297.0,0.0
6,6,2014,0,304.0,0.0
0,6,2014,1,305.0,0.0
1,6,2014,1,318.0,0.0
2,6,2014,1,258.0,0.0
3,6,2014,1,257.0,0.0
4,6,2014,1,238.0,0.0
