T,method,OG
100,SAA,19.27226121117127
100,KNN,6.438051052899199
100,LS,8.689754178029425
100,AD,0.06465017682201307
100,CART,5.163809735394402
100,ER-SAA,0.016063250844321454
100,M5 + AD,0.1110572634330375
1000,SAA,18.872312957837938
1000,KNN,1.9409198164842
1000,LS,8.55029332017025
1000,AD,0.04435741738881094
1000,CART,7.917292030479129
1000,ER-SAA,0.04636142983695522
1000,M5 + AD,0.6911873006347401
10000,SAA,18.007735982021664
10000,KNN,0.8436728507401634
10000,LS,8.540603167416798
10000,AD,0.010586821806667417
10000,CART,21.986406021566513
10000,ER-SAA,0.01204195511693408
10000,M5 + AD,0.2805625940721232
100,SAA,11.321381423127294
100,KNN,0.6423953429940402
100,LS,8.353559243202485
100,AD,0.03867809606127622
100,CART,9.929997586767549
100,ER-SAA,0.007636793433679787
100,M5 + AD,0.5964290699154949
1000,SAA,13.940427568006342
1000,KNN,0.5763540632791393
1000,LS,8.001746453283554
1000,AD,0.0077550447770179595
1000,CART,4.089638324714844
1000,ER-SAA,0.010201179699897176
1000,M5 + AD,0.25269957130431253
10000,SAA,12.283268316130897
10000,KNN,0.304739507312858
10000,LS,8.139843761427684
10000,AD,0.006438460218280364
10000,CART,14.391301585710844
10000,ER-SAA,0.006179618408440637
10000,M5 + AD,0.02442688083397988
100,SAA,8.862808692057035
100,KNN,3.6910084198573845
100,LS,6.899406033825321
100,AD,0.02094646251405015
100,CART,49.397964234914056
100,ER-SAA,0.012627515322051025
100,M5 + AD,0.052563255041611356
1000,SAA,7.883783183168757
1000,KNN,0.7211628574558242
1000,LS,7.2714161007846325
1000,AD,0.042509762065287546
1000,CART,12.26452445116174
1000,ER-SAA,0.018908609729825047
1000,M5 + AD,0.20935077175410072
10000,SAA,8.883869687524706
10000,KNN,0.8575887220416338
10000,LS,7.590576320691243
10000,AD,0.011308803525743108
10000,CART,0.5150690367782806
10000,ER-SAA,0.008210615069122875
10000,M5 + AD,0.12232410402512336
100,SAA,2.7940752536409015
100,KNN,1.1548291278716452
100,LS,4.990812474264205
100,AD,0.03969793547721265
100,CART,0.7884072227858285
100,ER-SAA,0.0361755734325476
100,M5 + AD,0.0740784108707598
1000,SAA,3.7159635067734214
1000,KNN,1.4446618265196494
1000,LS,7.126523397083358
1000,AD,0.013434697625749682
1000,CART,45.76041584578594
1000,ER-SAA,0.01329225110352833
1000,M5 + AD,0.5387295847196067
10000,SAA,3.791169022491643
10000,KNN,0.4698675955275696
10000,LS,7.233692436832018
10000,AD,0.00806289643000493
10000,CART,11.218914684451422
10000,ER-SAA,0.007949267027349528
10000,M5 + AD,0.046514533426685295
100,SAA,12.893505128297415
100,KNN,4.670719947123422
100,LS,10.947026506328516
100,AD,1.246602072000379
100,CART,36.68008861559624
100,ER-SAA,0.6054422559453557
100,M5 + AD,2.022968646690677
1000,SAA,14.821411890725258
1000,KNN,1.7552741681334834
1000,LS,8.427023443919143
1000,AD,0.008407973870470624
1000,CART,8.495189893451414
1000,ER-SAA,0.007873948186734333
1000,M5 + AD,0.12302795453990753
10000,SAA,15.230513345715481
10000,KNN,0.33310986950380533
10000,LS,8.85600693209331
10000,AD,0.009844672964018896
10000,CART,3.034420240284553
10000,ER-SAA,0.00945804468689943
10000,M5 + AD,0.2837840465082342
100,SAA,27.800011437335233
100,KNN,6.075788516070464
100,LS,9.30330817092996
100,AD,0.19851170737029106
100,CART,1.449868788996158
100,ER-SAA,0.01992000312972755
100,M5 + AD,0.09042961879249747
1000,SAA,25.44249126138245
1000,KNN,2.676613078869947
1000,LS,11.316349628011029
1000,AD,0.08984131336970273
1000,CART,2.6627938660679824
1000,ER-SAA,0.05990316166881258
1000,M5 + AD,0.17012807467311022
10000,SAA,24.34220211121125
10000,KNN,0.5400874182995236
10000,LS,9.115893765504287
10000,AD,0.00947956398335841
10000,CART,3.624336150624856
10000,ER-SAA,0.009675831705823328
10000,M5 + AD,0.014972870344584091
100,SAA,24.708107606113593
100,KNN,4.466424347167016
100,LS,12.076501354082549
100,AD,0.3585076562331502
100,CART,0.016818486245374575
100,ER-SAA,0.36520186814375155
100,M5 + AD,0.20772291163800474
1000,SAA,21.4108241161115
1000,KNN,2.120240117530699
1000,LS,10.216379081871906
1000,AD,0.049283661062041455
1000,CART,4.227104532437932
1000,ER-SAA,0.034076332079137774
1000,M5 + AD,0.0717884646543941
10000,SAA,21.909768640642795
10000,KNN,0.7474860411124509
10000,LS,8.89144032808086
10000,AD,0.01121449317721659
10000,CART,8.231024777668862
10000,ER-SAA,0.012692297404639176
10000,M5 + AD,1.6092661847406142
100,SAA,17.341339063869345
100,KNN,4.982523317828136
100,LS,9.190834255049694
100,AD,0.6116966084669956
100,CART,34.74532910489251
100,ER-SAA,0.12300797845948337
100,M5 + AD,0.34311181934265533
1000,SAA,16.051805631837993
1000,KNN,2.4873880400197583
1000,LS,8.77325583823214
1000,AD,0.06651346198524129
1000,CART,17.74770912044683
1000,ER-SAA,0.029127372830398162
1000,M5 + AD,0.028108572234379483
10000,SAA,15.78126112363156
10000,KNN,0.9228874779504159
10000,LS,7.984692998850719
10000,AD,0.008379544778465883
10000,CART,7.400058513441459
10000,ER-SAA,0.007193237046781863
10000,M5 + AD,0.03340981109710905
100,SAA,5.917652655995184
100,KNN,3.282029844683558
100,LS,10.224740955171393
100,AD,1.078877441899588
100,CART,2.2413363844347565
100,ER-SAA,0.5700667950169515
100,M5 + AD,1.1529694193069464
1000,SAA,6.677942785317688
1000,KNN,0.5036916558679336
1000,LS,8.323211602337846
1000,AD,0.04729383705112724
1000,CART,5.981794501437484
1000,ER-SAA,0.027700547751724945
1000,M5 + AD,0.2666822292451126
10000,SAA,6.181150918801733
10000,KNN,0.27203408143308466
10000,LS,7.330959440826322
10000,AD,0.012963226734687049
10000,CART,5.04741226095947
10000,ER-SAA,0.013063416228002969
10000,M5 + AD,0.08831538000352462
100,SAA,16.707126380198453
100,KNN,4.150261447188179
100,LS,16.07597307261049
100,AD,0.11053325223537672
100,CART,0.03415907299436268
100,ER-SAA,0.270714278795209
100,M5 + AD,0.21881581231424405
1000,SAA,18.461086559101094
1000,KNN,2.2120423186513127
1000,LS,8.782058156196479
1000,AD,0.04217775395488637
1000,CART,0.6255800273601069
1000,ER-SAA,0.014168797083858632
1000,M5 + AD,0.3363301706746941
10000,SAA,19.250597540901694
10000,KNN,0.5735376751372538
10000,LS,9.171600749549409
10000,AD,0.008172945043979533
10000,CART,3.1171002284136873
10000,ER-SAA,0.008530296197686131
10000,M5 + AD,0.1545609563042163
100,SAA,10.82782059552528
100,KNN,0.47363282946571833
