T,method,OG
100,SAA,1.8466531840621707
100,KNN,1.0299436708609337
100,LS,16.788880407154018
100,AD,0.024164259013967414
100,CART,12.146224140525714
100,ER-SAA,0.1522722369808568
100,M5 + AD,0.20275312689956437
1000,SAA,2.591534779940663
1000,KNN,0.02518883226045573
1000,LS,13.125346163773608
1000,AD,0.024412586408644597
1000,CART,1.9141482579062705
1000,ER-SAA,0.045422118956339796
1000,M5 + AD,0.12585622579826053
10000,SAA,2.7197417189639146
10000,KNN,0.008101933865420456
10000,LS,12.510024166895727
10000,AD,0.04018470894172782
10000,CART,13.09603904816646
10000,ER-SAA,0.037446927751715486
10000,M5 + AD,0.07491169428111666
100,SAA,4.285961487912053
100,KNN,0.902593966811521
100,LS,10.516907477745326
100,AD,0.0704175096959947
100,CART,47.47898273393208
100,ER-SAA,0.06799863071115664
100,M5 + AD,0.3229748308252368
1000,SAA,3.934506686180753
1000,KNN,0.5471300267704745
1000,LS,11.809936256634689
1000,AD,0.01382046497666802
1000,CART,11.35583634420912
1000,ER-SAA,0.010372910979110276
1000,M5 + AD,1.7532411162338053
10000,SAA,3.8385561875858563
10000,KNN,0.13828494052503806
10000,LS,12.087763625492645
10000,AD,0.020176250843668735
10000,CART,8.179917416392891
10000,ER-SAA,0.013464791710666507
10000,M5 + AD,0.029904555888860027
100,SAA,2.3958081821262915
100,KNN,0.9656226050512708
100,LS,1.6575138579705
100,AD,0.8753854192743891
100,CART,0.12155607964848975
100,ER-SAA,0.8977584844130706
100,M5 + AD,0.08227733810737481
1000,SAA,1.9324167102507959
1000,KNN,1.3770675697364887
1000,LS,0.26727511675002147
1000,AD,1.6294596436247775
1000,CART,10.580551618649325
1000,ER-SAA,1.3534129869609262
1000,M5 + AD,0.32729168726495694
10000,SAA,1.7454299631256724
10000,KNN,0.9588114163900036
10000,LS,0.3419844743905085
10000,AD,1.2971888640469587
10000,CART,1.4203914688112338
10000,ER-SAA,1.2793932825691745
10000,M5 + AD,0.47562575312382477
100,SAA,1.5524902376238245
100,KNN,1.5642452029983067
100,LS,6.749354493337636
100,AD,0.02865216090722475
100,CART,40.88891801109772
100,ER-SAA,0.02632995427520358
100,M5 + AD,0.12305105246417038
1000,SAA,2.048298724279185
1000,KNN,0.02162206573049411
1000,LS,6.917287963037768
1000,AD,0.11974047972759994
1000,CART,10.30700838770684
1000,ER-SAA,0.0623433139823654
1000,M5 + AD,0.040935604923395645
10000,SAA,1.5545360003647044
10000,KNN,0.01759949894097194
10000,LS,6.016360397797801
10000,AD,0.15299799651877524
10000,CART,7.023202896761711
10000,ER-SAA,0.11198529576035021
10000,M5 + AD,0.059084806749159495
100,SAA,24.771450162805202
100,KNN,9.084246598783855
100,LS,0.9057680751444457
100,AD,0.16739979370877037
100,CART,71.05332607137042
100,ER-SAA,0.6596540281493758
100,M5 + AD,0.08085520798199199
1000,SAA,16.348869489474698
1000,KNN,0.1785777362836013
1000,LS,0.8769216456668925
1000,AD,0.5412937998095925
1000,CART,23.55458842505981
1000,ER-SAA,0.783060802245995
1000,M5 + AD,0.4398673160774927
10000,SAA,24.2902504721737
10000,KNN,0.018327214126212084
10000,LS,0.8103113178855073
10000,AD,0.8608747154788388
10000,CART,4.788306690294535
10000,ER-SAA,0.8514576467382855
10000,M5 + AD,0.02299887262395495
100,SAA,6.356493743585164
100,KNN,1.4953471433956047
100,LS,13.236441865482767
100,AD,0.14588847264758634
100,CART,21.860033830615684
100,ER-SAA,0.11396752465115154
100,M5 + AD,0.277355162981293
1000,SAA,6.010292415654767
1000,KNN,0.6036559932864396
1000,LS,10.701994507418833
1000,AD,0.01874693785678578
1000,CART,41.6819426687419
1000,ER-SAA,0.0392714012540691
1000,M5 + AD,0.19333553115718385
10000,SAA,6.021441469728908
10000,KNN,0.32311507309918625
10000,LS,9.887201879544891
10000,AD,0.03428741671694968
10000,CART,7.825493773666556
10000,ER-SAA,0.0380121615903442
10000,M5 + AD,0.018892630730387935
100,SAA,1.2821062571572581
100,KNN,0.4163149711251187
100,LS,14.692855439166784
100,AD,0.04040950394063442
100,CART,0.648627033579342
100,ER-SAA,0.08964164519253894
100,M5 + AD,0.05832920741894414
1000,SAA,1.7835414374266234
1000,KNN,0.019709050782473588
1000,LS,14.212027630666325
1000,AD,0.06958457748337199
1000,CART,22.742781954969903
1000,ER-SAA,0.07906646674905744
1000,M5 + AD,0.11421073632336078
10000,SAA,1.9997615259278145
10000,KNN,0.016299396309503583
10000,LS,14.701626078275792
10000,AD,0.1413320613687217
10000,CART,8.692541720019648
10000,ER-SAA,0.12456195274015729
10000,M5 + AD,0.03354217529363093
100,SAA,7.7357974646406635
100,KNN,0.9473242828378263
100,LS,21.096473807750925
100,AD,1.4133195296521552
100,CART,27.797942079938956
100,ER-SAA,0.8605287993789036
100,M5 + AD,2.8096095451721737
1000,SAA,6.89300575707284
1000,KNN,0.7416031637905507
1000,LS,12.818410165920012
1000,AD,0.01414381762827491
1000,CART,8.51541452521562
1000,ER-SAA,0.01498764088236786
1000,M5 + AD,0.08268183259037921
10000,SAA,6.968500677679509
10000,KNN,0.1485038167022056
10000,LS,11.6410174514845
10000,AD,0.015768019595691126
10000,CART,7.761814797173366
10000,ER-SAA,0.014077719720753492
10000,M5 + AD,1.0519035045374943
100,SAA,1.386857048169422
100,KNN,0.08906237977031459
100,LS,10.417211356946217
100,AD,0.026686499343679795
100,CART,1.5036293660400524
100,ER-SAA,0.13308018872667587
100,M5 + AD,0.03762782819544116
1000,SAA,2.2698258209304423
1000,KNN,0.31293754195385753
1000,LS,13.191404979481069
1000,AD,0.04879965264997716
1000,CART,13.626095144598237
1000,ER-SAA,0.12578885314073074
1000,M5 + AD,0.12694131510768308
10000,SAA,2.314062164211991
10000,KNN,0.09317948680018573
10000,LS,12.67588134979985
10000,AD,0.061183783886675426
10000,CART,3.06090095813379
10000,ER-SAA,0.05800940771189684
10000,M5 + AD,0.11581279576114546
100,SAA,6.989582677278698
100,KNN,2.636618665073451
100,LS,9.724500743197774
100,AD,0.08340090474029258
100,CART,20.770677762655325
100,ER-SAA,0.020853394412070618
100,M5 + AD,0.03222531257006566
1000,SAA,6.754185924789786
1000,KNN,0.44828140179032516
1000,LS,7.513215405577278
1000,AD,0.11300991648658029
1000,CART,4.246294936815373
1000,ER-SAA,0.11831384445055436
1000,M5 + AD,0.07186311438285801
10000,SAA,6.499016779829034
10000,KNN,0.30042901965720226
10000,LS,6.9356154649797865
10000,AD,0.11818473427241251
10000,CART,4.942562552674138
10000,ER-SAA,0.1493230744513415
10000,M5 + AD,0.057332789658250144
100,SAA,1.7074206505896372
100,KNN,0.7903160622348471
100,LS,18.491213152802366
100,AD,2.0338760546017207
100,CART,35.04819945373893
100,ER-SAA,0.28865492021406375
100,M5 + AD,1.2274207585987058
1000,SAA,2.5372347739233008
1000,KNN,0.013178223400270068
1000,LS,17.344051988911435
1000,AD,0.6162100903862754
1000,CART,8.699941563254807
1000,ER-SAA,0.3915687501294012
1000,M5 + AD,0.01601611354666336
