T,method,OoS
100,LS,5.5478515885521364
100,ER-SAA,7.233911114860863
100,AD,6.889152796875665
100,SAA,21.93069831050692
100,KNN,14.849260252572934
100,M5 + AD,6.432646490639235
100,CART,11.706024715325654
1000,LS,4.003972451917099
1000,ER-SAA,5.517850774841762
1000,AD,5.346590174358858
1000,SAA,22.295144876177048
1000,KNN,7.6137784005394336
1000,M5 + AD,1.59955309783534
1000,CART,2.8370116358867783
10000,LS,4.156459570912928
10000,ER-SAA,5.680440816114272
10000,AD,5.530194365694945
10000,SAA,22.38541097111295
10000,KNN,4.1560737457133365
10000,M5 + AD,1.3620379222086976
10000,CART,1.7326533794928007
100,LS,1.635507654430443
100,ER-SAA,2.320074667704673
100,AD,2.1483512933607334
100,SAA,16.228650205373732
100,KNN,6.720059400721845
100,M5 + AD,1.4927796088555458
100,CART,4.864794437589143
1000,LS,1.9194449022234197
1000,ER-SAA,3.060597167163625
1000,AD,2.8787292470043186
1000,SAA,16.984863444977847
1000,KNN,4.126897791299284
1000,M5 + AD,0.43839851141960057
1000,CART,2.6840157766725117
10000,LS,2.043157951812687
10000,ER-SAA,3.1803022907635685
10000,AD,3.0404541276789656
10000,SAA,16.644158080784983
10000,KNN,2.3264347904699023
10000,M5 + AD,0.5050208817401346
10000,CART,1.0708759128824958
100,LS,3.3357535049945186
100,ER-SAA,0.24723910864428064
100,AD,0.3793258259737339
100,SAA,7.97490495424612
100,KNN,0.7927385694889636
100,M5 + AD,1.97944614859787
100,CART,9.959127756480338
1000,LS,3.604938131362774
1000,ER-SAA,0.41602673129261736
1000,AD,0.4820953974715737
1000,SAA,5.640436361991326
1000,KNN,0.06474399263075002
1000,M5 + AD,0.15837593663939034
1000,CART,3.64088074451901
10000,LS,3.4794797665655253
10000,ER-SAA,0.36921143349755897
10000,AD,0.4386010487672193
10000,SAA,5.7820248011206505
10000,KNN,0.020136155279316347
10000,M5 + AD,0.34127225833336144
10000,CART,2.6104152979592876
100,LS,2.4023126117289944
100,ER-SAA,0.0858262313811202
100,AD,0.14188997631943556
100,SAA,4.572499295223537
100,KNN,1.7239391700913393
100,M5 + AD,0.14795050910006224
100,CART,10.461768426541088
1000,LS,2.4358954029087094
1000,ER-SAA,0.0832918297107057
1000,AD,0.12649534900145143
1000,SAA,4.066508827631767
1000,KNN,1.2938639262065472
1000,M5 + AD,0.23339015990199427
1000,CART,1.6077354863975777
10000,LS,2.5657426778365147
10000,ER-SAA,0.09351317049473619
10000,AD,0.1405074818041382
10000,SAA,3.739894335088932
10000,KNN,0.44041624768820586
10000,M5 + AD,0.07352319706671626
10000,CART,1.1353488424429041
100,LS,0.8844999728932184
100,ER-SAA,0.926081442874437
100,AD,0.7787216501327109
100,SAA,11.084618299452202
100,KNN,3.6773050760429387
100,M5 + AD,0.3086420552815682
100,CART,1.2945648817241728
1000,LS,0.9005743242993014
1000,ER-SAA,0.7542075342334231
1000,AD,0.6941506705379777
1000,SAA,11.515277850261844
1000,KNN,1.033028764686503
1000,M5 + AD,0.0791837969856188
1000,CART,0.8755959650679651
10000,LS,0.9567415141668759
10000,ER-SAA,0.5958043980692899
10000,AD,0.5433398617020773
10000,SAA,11.863422928093325
10000,KNN,0.1222107714248853
10000,M5 + AD,0.20431077619576
10000,CART,1.2152155508386533
100,LS,1.8545530320697705
100,ER-SAA,0.02382225108851615
100,AD,0.04957446156136918
100,SAA,7.935560207253775
100,KNN,0.5696365326356079
100,M5 + AD,0.058552720856099874
100,CART,1.8229742106385192
1000,LS,2.1711893993335747
1000,ER-SAA,0.03666925428934132
1000,AD,0.06287614855525074
1000,SAA,7.6418488946131085
1000,KNN,0.03875224951812881
1000,M5 + AD,0.16530292825360252
1000,CART,4.259063496663128
10000,LS,2.105771780267159
10000,ER-SAA,0.01550925979290636
10000,AD,0.04795889498109666
10000,SAA,7.740552596091076
10000,KNN,0.037150871273435915
10000,M5 + AD,0.052801436103256875
10000,CART,1.5113209637049942
100,LS,2.3359834506200743
100,ER-SAA,0.03054141452442078
100,AD,0.1477283405168049
100,SAA,9.256494521681358
100,KNN,1.5053858312949129
100,M5 + AD,0.14045104686826998
100,CART,0.6564497473077683
1000,LS,2.576134831446089
1000,ER-SAA,0.058626707893342185
1000,AD,0.10549606060744326
1000,SAA,8.787331923996627
1000,KNN,0.17854227153236177
1000,M5 + AD,0.24734575951149135
1000,CART,4.022068921581682
10000,LS,2.4935663532398618
10000,ER-SAA,0.05007293312545738
10000,AD,0.09223328591079462
10000,SAA,8.219004759787014
10000,KNN,0.026430347997930526
10000,M5 + AD,0.15275890548336235
10000,CART,1.0401633603171714
100,LS,1.4527359265104292
100,ER-SAA,0.1185489982503396
100,AD,0.11699283221469689
100,SAA,5.974162036916233
100,KNN,0.10741900045030402
100,M5 + AD,0.6069043844411889
100,CART,5.0563894401455824
1000,LS,1.8455365878490777
1000,ER-SAA,0.00698410206702775
1000,AD,0.025936510911560164
1000,SAA,5.929397727199966
1000,KNN,0.44608563140513235
1000,M5 + AD,0.06879463408212652
1000,CART,5.086464306995459
10000,LS,2.0395521492313646
10000,ER-SAA,0.007417148347936119
10000,AD,0.028105209204129147
10000,SAA,5.779268203784175
10000,KNN,0.029920028019982677
10000,M5 + AD,0.1198860348162104
10000,CART,1.7968157240918359
100,LS,3.431569059293817
100,ER-SAA,4.118978783281672
100,AD,4.067672959559788
100,SAA,17.98682821134484
100,KNN,8.84481844085289
100,M5 + AD,3.303825593679515
100,CART,5.7783125880207615
1000,LS,3.2701100366180955
1000,ER-SAA,4.569014469367012
1000,AD,4.424966802994116
1000,SAA,17.653342508492187
1000,KNN,5.03724453335096
1000,M5 + AD,1.2193691420190549
1000,CART,1.454677739969812
10000,LS,3.0531900678574595
10000,ER-SAA,4.293777718211886
10000,AD,4.178708261821632
10000,SAA,17.56351735196973
10000,KNN,3.7438810593552065
10000,M5 + AD,0.20993101011877058
10000,CART,0.7442769868675538
100,LS,1.157165860797687
100,ER-SAA,0.16760566965700063
100,AD,0.1746684155173057
100,SAA,9.90455666100938
100,KNN,1.450875544900641
100,M5 + AD,0.07077968834490345
100,CART,1.0650797892426533
1000,LS,1.0965528214788325
1000,ER-SAA,0.503014079743784
1000,AD,0.4216741211729622
1000,SAA,11.025883258666122
1000,KNN,1.586626464649822
1000,M5 + AD,0.2054473761329708
1000,CART,3.001429737930505
10000,LS,1.2380114309771135
10000,ER-SAA,0.3467255775480726
10000,AD,0.30219076655612354
10000,SAA,10.895606746541512
10000,KNN,0.34422915425124184
10000,M5 + AD,0.05561105053538384
10000,CART,1.0623876187012402
100,LS,1.4189545391709635
100,ER-SAA,0.04412029136791763
100,AD,0.05257572175900455
100,SAA,5.126075047906575
100,KNN,3.2559763465062956
100,M5 + AD,0.2032566824014311
100,CART,5.517803946021054
1000,LS,1.2937680275606602
1000,ER-SAA,0.18325877099661939
1000,AD,0.2229678002341102
1000,SAA,5.188799881928976
1000,KNN,0.3365762651792706
1000,M5 + AD,0.7771833549344261
1000,CART,1.7233672922628493
10000,LS,1.2853359258837047
10000,ER-SAA,0.18033401589232387
10000,AD,0.21315975461880649
10000,SAA,5.117929524113389
10000,KNN,0.4912303263041177
10000,M5 + AD,0.10655570957967114
10000,CART,2.0938581784174155
100,LS,0.7498422732981352
100,ER-SAA,1.3362862234165993
100,AD,1.0597909766144067
100,SAA,4.159201266572085
100,KNN,1.8938812856933456
100,M5 + AD,0.0800925509947881
100,CART,18.583364089437453
1000,LS,0.8206751215562302
1000,ER-SAA,0.7467655841642266
1000,AD,0.6906578595686235
1000,SAA,4.337655036896604
1000,KNN,4.062998417606319
1000,M5 + AD,0.09069095026436483
1000,CART,13.921175526452181
10000,LS,0.9440899889929514
10000,ER-SAA,0.9500904596269418
10000,AD,0.9027648433414903
10000,SAA,4.609184797898034
10000,KNN,3.5514776835162194
10000,M5 + AD,0.23585619365259786
10000,CART,2.1066446468623012
100,LS,0.619503353460276
100,ER-SAA,1.368907363823177
100,AD,1.5475042593363377
100,SAA,19.916609513532
100,KNN,6.7310049548923265
100,M5 + AD,1.0792582370816692
100,CART,17.4781185813911
1000,LS,0.8648998052450276
1000,ER-SAA,0.5855517927523531
1000,AD,0.7289496692299496
1000,SAA,19.587093555006362
1000,KNN,0.8025757422727796
1000,M5 + AD,0.6245538384384339
1000,CART,4.8511588350251
10000,LS,0.8891132771002707
10000,ER-SAA,0.538033047105101
10000,AD,0.6925075836963483
10000,SAA,19.19097221031913
10000,KNN,0.028749866780617864
10000,M5 + AD,0.12184107639367657
10000,CART,0.5919504252227723
100,LS,0.8702659400131492
100,ER-SAA,0.2887618144966643
100,AD,0.22472305247667776
100,SAA,6.1381708938176915
100,KNN,2.289412643833415
100,M5 + AD,0.38566572508801406
100,CART,6.231822542900348
1000,LS,1.1876791142712655
1000,ER-SAA,0.14905321396118146
1000,AD,0.1433098495859695
1000,SAA,7.822391286391164
1000,KNN,0.6820040102118882
1000,M5 + AD,0.03850919680973255
1000,CART,1.4294029318516006
10000,LS,1.1553764945805602
10000,ER-SAA,0.20755655298405112
10000,AD,0.21973884044303132
10000,SAA,7.414551846378631
10000,KNN,0.33208606712927463
10000,M5 + AD,0.09029161122312677
10000,CART,3.6561926052162033
100,LS,4.578003785103753
100,ER-SAA,0.9195305472893969
100,AD,1.0224997895711112
100,SAA,3.380715689817929
100,KNN,0.07321282049257963
100,M5 + AD,0.7149599472303706
100,CART,2.9016680464913542
1000,LS,4.0143467716308345
1000,ER-SAA,0.7075832191415049
1000,AD,0.7284237950288225
1000,SAA,3.5025163678915345
1000,KNN,0.11265174113176377
1000,M5 + AD,0.07608115107384834
1000,CART,1.256327642615487
10000,LS,4.068115262357996
10000,ER-SAA,0.6898000483654962
10000,AD,0.737763864399181
10000,SAA,3.39601066456104
10000,KNN,0.015426604463117059
10000,M5 + AD,0.041704830978691765
10000,CART,1.6916988437990834
100,LS,3.953539905767598
100,ER-SAA,1.1374496621667982
100,AD,1.1386168107761123
100,SAA,1.1090636826055762
100,KNN,1.2017233916327783
100,M5 + AD,0.5009925838060106
100,CART,1.121561305037791
1000,LS,3.9561041785288387
1000,ER-SAA,0.5647913293057011
1000,AD,0.557850919409048
1000,SAA,1.6972296154932394
1000,KNN,0.03532845791504898
1000,M5 + AD,0.054330423780193926
1000,CART,1.1888938193256058
10000,LS,4.058601228824222
10000,ER-SAA,0.6399662881638029
10000,AD,0.6381225461132595
10000,SAA,2.1037333676911034
10000,KNN,0.015445197799340409
10000,M5 + AD,0.15124531333138028
10000,CART,1.0269700971788351
100,LS,1.074000113142304
100,ER-SAA,1.034855985736159
100,AD,0.8952579830981994
100,SAA,12.922919517115432
100,KNN,5.63704838057824
100,M5 + AD,0.40243290459920344
100,CART,2.236116709582579
1000,LS,0.9802534068679375
1000,ER-SAA,1.1943243836629531
1000,AD,1.112793913756903
1000,SAA,14.208405177007423
1000,KNN,1.200225796681156
1000,M5 + AD,0.10810703354322809
1000,CART,1.0296727698283017
10000,LS,1.0090797628826471
10000,ER-SAA,1.2530949962981017
10000,AD,1.155365687106531
10000,SAA,14.441718789360964
10000,KNN,0.04691715768317643
10000,M5 + AD,0.056660461467451025
10000,CART,0.9207085467218721
100,LS,4.290579192467713
100,ER-SAA,5.879194398611999
100,AD,5.69749046992292
100,SAA,22.620757532188744
100,KNN,12.104179020667173
100,M5 + AD,4.98021149662126
100,CART,9.394159690870076
1000,LS,4.349687762666177
1000,ER-SAA,5.8603447459414895
1000,AD,5.673100778866904
1000,SAA,21.390571690534415
1000,KNN,6.653293692096568
1000,M5 + AD,1.383030704560388
1000,CART,2.0213314078390283
10000,LS,4.373840910047861
10000,ER-SAA,5.872502257935823
10000,AD,5.697387064890575
10000,SAA,21.881940944515538
10000,KNN,4.337374793895865
10000,M5 + AD,0.2930210200366947
10000,CART,1.1963472813628588
100,LS,3.4600303412725237
100,ER-SAA,0.47797747703116267
100,AD,0.6639092810661498
100,SAA,1.1601551435632291
100,KNN,0.13052330754896463
100,M5 + AD,0.7904722868421276
100,CART,6.9231099550649775
1000,LS,4.3297238238399425
1000,ER-SAA,0.8538242468107025
1000,AD,0.8225877661860911
1000,SAA,1.4955108307658331
1000,KNN,0.13936023685368515
1000,M5 + AD,0.5583989311841687
1000,CART,8.188454532623247
10000,LS,4.4229650676396375
10000,ER-SAA,0.8926750015099284
10000,AD,0.8842630754820717
10000,SAA,1.1137959636027714
10000,KNN,0.07540040095130689
10000,M5 + AD,0.06493218357848371
10000,CART,1.0001614198818887
100,LS,1.9049447157915158
100,ER-SAA,0.1736906596834934
100,AD,0.20323665904283927
100,SAA,8.453520586293536
100,KNN,0.6721381206868475
100,M5 + AD,0.3399595956591945
100,CART,8.033746263109023
1000,LS,1.2792681386655154
1000,ER-SAA,0.1800454344799195
1000,AD,0.26031337224913476
1000,SAA,6.185834941155773
1000,KNN,0.21430591012357134
1000,M5 + AD,0.10710038892918113
1000,CART,2.369751756421247
10000,LS,1.3447841430721508
10000,ER-SAA,0.08740073483303866
10000,AD,0.16349993268776816
10000,SAA,5.956165626658903
10000,KNN,0.04559716105097225
10000,M5 + AD,0.426385231870286
10000,CART,2.2030575235100285
100,LS,1.4545746374867439
100,ER-SAA,0.042318157152195515
100,AD,0.04738915864393724
100,SAA,3.9882573420972247
100,KNN,2.0075604905212145
100,M5 + AD,0.05923303822134234
100,CART,4.267101142762573
1000,LS,2.1645047550754866
1000,ER-SAA,0.043868153248171955
1000,AD,0.051181441716704454
1000,SAA,4.661374392598827
1000,KNN,0.05193003467417291
1000,M5 + AD,0.1670823438468098
1000,CART,2.704111624440826
10000,LS,2.2742312853664948
10000,ER-SAA,0.03598351470002513
10000,AD,0.051346039889572315
10000,SAA,4.216906613737072
10000,KNN,0.018707167248068042
10000,M5 + AD,0.07861937756856932
10000,CART,2.3191753364984606
100,LS,2.1101015275319095
100,ER-SAA,0.028395593440304845
100,AD,0.048078145117588726
100,SAA,7.711794531469114
100,KNN,1.0278762645975388
100,M5 + AD,0.11895149169876616
100,CART,3.018193785029603
1000,LS,1.5709567951409427
1000,ER-SAA,0.061473061030748836
1000,AD,0.07505097771928745
1000,SAA,8.840584079444664
1000,KNN,1.4057056395100285
1000,M5 + AD,0.3058568883425045
1000,CART,1.4722016063656507
10000,LS,1.5910483125019421
10000,ER-SAA,0.06827983623646196
10000,AD,0.07265771715642834
10000,SAA,9.050470870133815
10000,KNN,0.29276752855234095
10000,M5 + AD,0.1232291206051412
10000,CART,0.706929300003386
100,LS,2.494849781484334
100,ER-SAA,0.08732292446618263
100,AD,0.15536008677094532
100,SAA,6.379439671709325
100,KNN,2.7645283872573203
100,M5 + AD,0.0873689021451182
100,CART,17.181165509710382
1000,LS,2.901671617507435
1000,ER-SAA,0.23266331784130598
1000,AD,0.21777012592793
1000,SAA,4.7693366416535765
1000,KNN,0.2846760966140542
1000,M5 + AD,0.05398435821000553
1000,CART,1.7911359025932998
10000,LS,3.2430995623058028
10000,ER-SAA,0.35078398181203446
10000,AD,0.32280323982156944
10000,SAA,3.865680017230564
10000,KNN,0.025598769113409404
10000,M5 + AD,0.08591724306090003
10000,CART,2.418262258492833
100,LS,1.3296105563284835
100,ER-SAA,0.22215370438963725
100,AD,0.20438602690423563
100,SAA,10.01693212693752
100,KNN,3.3857470395463394
100,M5 + AD,0.17395891662669852
100,CART,1.3230184686445512
1000,LS,1.3233633667215414
