T,method,OoS
100,LS,44.92896048101731
100,ER-SAA,30.437115834468855
100,AD,24.16488728133321
100,SAA,46.046267236334536
100,KNN,8.260904934939065
100,M5 + AD,18.486569465175798
100,CART,7.519554742124055
1000,LS,45.347582182933635
1000,ER-SAA,24.851469257160886
1000,AD,21.635617177527713
1000,SAA,39.63178038781829
1000,KNN,1.490107428717048
1000,M5 + AD,3.897889624507353
1000,CART,0.9437169244984341
10000,LS,44.31646423607815
10000,ER-SAA,23.300347579510195
10000,AD,20.011294755790665
10000,SAA,39.0693714278204
10000,KNN,0.06936238657921787
10000,M5 + AD,0.14161167031775118
10000,CART,2.044140782854947
100,LS,2.699692383375894
100,ER-SAA,1.1510926391250753
100,AD,2.732796296528282
100,SAA,5.901304668278733
100,KNN,0.9598645155111472
100,M5 + AD,0.06755863431143456
100,CART,32.468086233003696
1000,LS,4.611138295856147
1000,ER-SAA,0.7494739785394632
1000,AD,2.058473041931672
1000,SAA,9.001831617197325
1000,KNN,3.8955992727648994
1000,M5 + AD,2.148229881272438
1000,CART,4.81395674580958
10000,LS,6.927421216588953
10000,ER-SAA,0.266407154786508
10000,AD,0.9814827125464373
10000,SAA,7.048694500361711
10000,KNN,1.6044266454005
10000,M5 + AD,5.033219385854646
10000,CART,1.7957492942858613
100,LS,56.211702820948055
100,ER-SAA,37.37514254846882
100,AD,33.03495026780107
100,SAA,42.39185953669343
100,KNN,9.859127370007558
100,M5 + AD,28.533433768525608
100,CART,11.659191528461735
1000,LS,59.913455359632145
1000,ER-SAA,37.7078030142263
1000,AD,31.86306310339446
1000,SAA,40.64350008687666
1000,KNN,1.6617690732881483
1000,M5 + AD,6.428819437514312
1000,CART,0.8623014463336568
10000,LS,58.77752576500021
10000,ER-SAA,37.50280663129368
10000,AD,34.275467810763
10000,SAA,40.673448749234836
10000,KNN,0.12254991390973011
10000,M5 + AD,0.5348422322610693
10000,CART,2.77808600567827
100,LS,1.2178674448539175
100,ER-SAA,3.975020668169585
100,AD,4.764104903941291
100,SAA,19.66087800751375
100,KNN,7.788012925747214
100,M5 + AD,4.353448310929815
100,CART,0.8335224910920824
1000,LS,1.376912105760979
1000,ER-SAA,4.988750301880848
1000,AD,5.058637346025778
1000,SAA,18.461773832485527
1000,KNN,1.460721187523403
1000,M5 + AD,4.65073397959998
1000,CART,13.108514445670535
10000,LS,1.282271707373302
10000,ER-SAA,4.727434914997198
10000,AD,5.31049475620598
10000,SAA,15.601527940656675
10000,KNN,0.8387470873484317
10000,M5 + AD,0.13983803204715423
10000,CART,2.4120421198534188
100,LS,6.082627210137915
100,ER-SAA,10.103080718209428
100,AD,10.399585255870488
100,SAA,7.415821959008522
100,KNN,3.0817850682781476
100,M5 + AD,7.226789004581256
100,CART,18.428541539370684
1000,LS,5.517916070914159
1000,ER-SAA,9.318740949388834
1000,AD,8.674104071142866
1000,SAA,13.963194391820917
1000,KNN,2.7762244169992227
1000,M5 + AD,0.14600350739960183
1000,CART,5.418529142946639
10000,LS,5.666238785568458
10000,ER-SAA,9.921198813303391
10000,AD,9.090968238315858
10000,SAA,11.484817416831293
10000,KNN,1.261877777739851
10000,M5 + AD,0.03253969240697892
10000,CART,2.032333214773864
100,LS,10.638417607034699
